dato_fuld,dato,år,Artist,spillested,adresse,Coordinates,Latitude,Longitude,Genre,Arrangementstype
10/11/1990,10. nov.,1990,Rudolf Steiner Vestskolens symfoniorkester,City Vest,Gudrunsvej 7,"56.1542887,10.1326861",56.1542887,10.1326861,klassisk,koncert
10/11/1990,10. nov.,1990,Shot of Soul,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,N/A,koncert
10/11/1990,10. nov.,1990,Rick Payne,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,N/A,koncert
10/11/1990,10. nov.,1990,N/A,Restaurant Aakrogen,Aakrogs Strandvej,"56.204044, 10.283115",56.204044,10.283115,underholdningsmusik,spil til dans
10/11/1990,10. nov.,1990,Tina Kiberg; Stig Fogh Andersen,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,klassisk,koncert
10/11/1990,10. nov.,1990,Elever fra Århus Folkemusikskole,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,N/A,koncert
10/11/1990,10. nov.,1990,Isa Holm; Søren Hansen; Christen Frost,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
10/11/1990,10. nov.,1990,The Shoes,Eifel,Store Torv 11,"56.1573931,10.205416",56.1573931,10.205416,pop/rock/beat,koncert
10/11/1990,10. nov.,1990,Ray Pitts,Det Jyske Musikkonservatorium,Fuglesangs Allé 26,"56.1641171,10.180192",56.1641171,10.180192,jazz,koncert
10/11/1990,10. nov.,1990,Konservatoriets Big Band (dir. Ray Pitts),Det Jyske Musikkonservatorium,Fuglesangs Allé 26,"56.1641171,10.180192",56.1641171,10.180192,jazz,matiné
10/11/1990,10. nov.,1990,Århus Kammerkor,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,klassisk,koncert
10/11/1990,10. nov.,1990,Det Jyske Kammerkor; Kroumata,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,N/A,koncert
10/11/1990,10. nov.,1990,Rick Payne,Gyngen,Mejlgade 53,"56.1599711,10.2102918",56.1599711,10.2102918,jazz,koncert
10/11/1990,10. nov.,1990,The Club,Fatter Eskild,Skolegade 25,"56.155218,10.2091098",56.155218,10.2091098,N/A,koncert
10/11/1990,10. nov.,1990,Niels Hausgaard,Egå Ungdomshøjskole,Eghøjvej 31,"56.2144926,10.2699891",56.2144926,10.2699891,folk/folkemusik/spillemandsmusik,koncert
10/11/1990,10. nov.,1990,N/A,Æsken,Anholtsgade 4,"56.1611307,10.2062178",56.1611307,10.2062178,pop/rock/beat,N/A
10/11/1990,10. nov.,1990,Sharing Patrol,Huset,Vester Allé 15,"56.1561067,10.1954298",56.1561067,10.1954298,N/A,koncert
10/11/1990,10. nov.,1990,The Cardinal,General Rye,Ryesgade 16,"56.1521394,10.2022552",56.1521394,10.2022552,jazz,koncert; spil til spinsing
10/11/1990,10. nov.,1990,Erik Grip,Tivoli Teatret,Skovbrynet 5,"56.1372838,10.1955588",56.1372838,10.1955588,folk/folkemusik/spillemandsmusik,koncert
10/11/1990,10. nov.,1990,The Club,Fatter Eskild,Skolegade 25,"56.155218,10.2091098",56.155218,10.2091098,N/A,koncert
11/11/1990,11. nov.,1990,Hot House,Fatter Eskild,Skolegade 25,"56.155218,10.2091098",56.155218,10.2091098,folk/folkemusik/spillemandsmusik,koncert
